"","x","freq"
"910","Bottenfield",1
"911","Botting",1
"912","Bottomley",1
"913","Botts",1
"914","Botz",1
"915","Bouchee",1
"916","Boucher",3
"917","Boudreau",1
"918","Bouldin",1
"919","Boultes",1
"920","Bour",1
"921","Bourgeois",2
"922","Bourjos",2
"923","Bourn",1
"924","Bournigal",1
"925","Bourque",1
"926","Bouton",1
"927","Bovee",1
"928","Bowa",1
"929","Bowcock",1
"930","Bowden",2
"931","Bowen",5
"932","Bowens",1
"933","Bowerman",1
"934","Bowers",5
"935","Bowes",1
"936","Bowie",2
"937","Bowker",1
"938","Bowler",1
"939","Bowles",3
"940","Bowlin",1
"941","Bowling",1
"942","Bowman",10
"943","Bowser",1
"944","Bowsfield",1
"945","Bowyer",1
"946","Boxberger",1
"947","Boyd",9
"948","Boyer",4
"949","Boyland",1
"950","Boyle",6
"951","Boyles",1
"952","Boze",1
"953","Brabender",1
"954","Brach",1
"955","Bracho",1
"956","Brack",1
"957","Bracken",1
"958","Brackenridge",1
"959","Brackman",1
"960","Braddock",1
"961","Braden",1
"962","Bradey",1
"963","Bradford",5
"964","Bradley",19
"965","Bradshaw",4
"966","Brady",10
"967","Bragan",1
"968","Bragg",1
"969","Braggins",1
"970","Braggs",1
"971","Brain",1
"972","Brainard",2
"973","Braithwood",1
"974","Brame",1
"975","Bramhall",1
"976","Branca",1
"977","Brancato",1
"978","Branch",3
"979","Brand",1
"980","Brandenburg",1
"981","Brandom",1
"982","Brandon",1
"983","Brandt",3
"984","Brannan",1
"985","Brannock",1
"986","Branom",1
"987","Bransfield",1
"988","Branson",1
"989","Brant",1
"990","Brantley",4
"991","Brantly",1
"992","Branyan",1
"993","Brashear",2
"994","Brasier",1
"995","Bratcher",1
"996","Bratschi",1
"997","Brault",1
"998","Braun",4
"999","Bravo",1
"1000","Braxton",1
"1001","Bray",2
"1002","Brazell",1
"1003","Brazelton",1
"1004","Brazill",1
"1005","Brazle",1
"1006","Brazoban",1
"1007","Brea",1
"1008","Bream",1
"1009","Breazeale",1
"1010","Brecheen",1
"1011","Breckinridge",1
"1012","Brede",1
"1013","Breeden",2
"1014","Breeding",1
"1015","Bregman",1
"1016","Breining",1
"1017","Breitenstein",2
"1018","Bremer",1
"1019","Brenegan",1
"1020","Brenly",1
"1021","Brennan",5
"1022","Brenneman",1
"1023","Brenner",1
"1024","Brenton",1
"1025","Brentz",1
"1026","Brenzel",1
"1027","Breslow",1
"1028","Bresnahan",1
"1029","Bressler",1
"1030","Bressoud",1
"1031","Breton",1
"1032","Brett",4
"1033","Breuer",1
"1034","Brewer",8
"1035","Brewington",1
"1036","Brewster",1
"1037","Brice",2
"1038","Brickell",2
"1039","Brickley",1
"1040","Brickner",1
"1041","Brideweser",1
"1042","Bridges",3
"1043","Bridwell",2
"1044","Brief",1
"1045","Briggs",6
"1046","Brigham",1
"1047","Bright",1
"1048","Brignac",1
"1049","Briles",1
"1050","Briley",1
"1051","Brill",1
"1052","Brillheart",1
"1053","Brink",1
"1054","Brinker",1
"1055","Brinkman",2
"1056","Brinkopf",1
"1057","Briody",1
"1058","Briscoe",1
"1059","Brissie",1
"1060","Bristol",1
"1061","Bristow",1
"1062","Brito",6
"1063","Britt",1
"1064","Brittain",1
"1065","Brittin",1
"1066","Britton",5
"1067","Brizzolara",1
"1068","Broaca",1
"1069","Broadway",2
"1070","Broberg",1
"1071","Brocail",1
"1072","Brock",5
"1073","Brockett",1
"1074","Broderick",2
"1075","Brodie",1
"1076","Brodowski",1
"1077","Broglio",1
"1078","Brogna",1
"1079","Brohamer",1
"1080","Brohawn",1
"1081","Brondell",1
"1082","Bronkey",1
"1083","Bronkie",1
"1084","Bronstad",1
"1085","Brookens",2
"1086","Brooks",6
"1087","Brosius",1
"1088","Broskie",1
"1089","Brosnan",1
"1090","Bross",1
"1091","Brosseau",1
"1092","Brothers",1
"1093","Brottem",1
"1094","Broughton",1
"1095","Brouhard",1
"1096","Broussard",1
"1097","Brouthers",2
"1098","Brovia",1
"1099","Brow",1
"1100","Brower",4
"1101","Brown",90
"1102","Browne",5
"1103","Browning",5
"1104","Brownson",1
"1105","Broxton",2
"1106","Brubaker",2
"1107","Bruce",3
"1108","Bruckbauer",1
"1109","Brucker",2
"1110","Bruckmiller",1
"1111","Bruett",1
"1112","Bruggy",1
"1113","Bruhert",1
"1114","Brumbaugh",1
"1115","Brumfield",1
"1116","Brumley",3
"1117","Brummer",1
"1118","Brummett",2
"1119","Brunansky",1
"1120","Bruner",2
"1121","Brunet",1
"1122","Brunette",1
"1123","Bruney",1
"1124","Bruno",1
"1125","Brunsberg",1
"1126","Brunson",1
"1127","Bruntlett",1
"1128","Brush",1
"1129","Bruske",1
"1130","Brusstar",1
"1131","Bruton",1
"1132","Bruyette",1
"1133","Bryan",1
"1134","Bryant",7
"1135","Bryden",1
"1136","Brye",1
"1137","Brynan",1
"1138","Bubela",1
"1139","Bubser",1
"1140","Bucha",1
"1141","Buchanan",5
"1142","Buchek",1
"1143","Bucher",1
"1144","Buchholz",2
"1145","Buchter",1
"1146","Buck",2
"1147","Buckels",1
"1148","Buckenberger",1
"1149","Buckeye",1
"1150","Buckingham",1
"1151","Buckles",1
"1152","Buckley",3
"1153","Buckner",2
"1154","Budaska",1
"1155","Budd",1
"1156","Budde",1
"1157","Buddie",1
"1158","Buddin",1
"1159","Budnick",1
"1160","Budzinski",1
"1161","Buechele",1
"1162","Buehrle",1
"1163","Buelow",2
"1164","Bueno",1
"1165","Buente",1
"1166","Bues",1
"1167","Buffinton",1
"1168","Buford",2
"1169","Buhl",1
"1170","Buhner",1
"1171","Buice",1
"1172","Buker",2
"1173","Bukvich",1
"1174","Bulger",1
"1175","Bulkeley",1
"1176","Bullard",1
"1177","Bullas",1
"1178","Bullett",1
"1179","Bulling",1
"1180","Bullinger",2
"1181","Bullington",1
"1182","Bullock",2
"1183","Bumbry",1
"1184","Bumgarner",1
"1185","Bump",1
"1186","Bunce",1
"1187","Bunch",1
"1188","Bundy",1
"1189","Bunker",1
"1190","Bunning",1
"1191","Burawa",1
"1192","Burba",1
"1193","Burbach",1
"1194","Burbrink",1
"1195","Burch",2
"1196","Burchart",1
"1197","Burchell",1
"1198","Burda",1
"1199","Burdette",2
"1200","Burdick",1
"1201","Burdock",1
"1202","Burg",1
"1203","Burgess",2
"1204","Burgmeier",1
"1205","Burgo",1
"1206","Burgos",4
"1207","Burich",1
"1208","Burk",2
"1209","Burkam",1
"1210","Burkart",1
"1211","Burke",21
"1212","Burkett",2
"1213","Burkhart",2
"1214","Burks",1
"1215","Burleson",1
"1216","Burnett",5
"1217","Burnette",1
"1218","Burnham",1
"1219","Burnitz",1
"1220","Burns",23
"1221","Burnside",2
"1222","Burpo",1
"1223","Burr",1
"1224","Burrell",3
"1225","Burres",1
"1226","Burright",1
"1227","Burris",3
"1228","Burriss",1
"1229","Burroughs",3
"1230","Burrows",2
"1231","Burrus",1
"1232","Burt",1
"1233","Burton",3
"1234","Burtschy",1
"1235","Burtt",1
"1236","Burwell",2
"1237","Busby",4
"1238","Busch",2
"1239","Buscher",1
"1240","Buschhorn",1
"1241","Buschmann",1
"1242","Bush",7
"1243","Bushelman",1
"1244","Bushey",1
"1245","Bushing",1
"1246","Bushong",1
"1247","Buskey",3
"1248","Buss",1
"1249","Busse",1
"1250","Butcher",4
"1251","Butera",2
"1252","Butka",1
"1253","Butland",1
"1254","Butler",24
"1255","Butters",1
"1256","Buttery",1
"1257","Buxton",2
"1258","Buzas",1
"1259","Buzhardt",1
"1260","Byerly",1
"1261","Byers",2
"1262","Bynum",2
"1263","Byrd",6
"1264","Byrdak",1
"1265","Byrne",4
"1266","Byrnes",3
"1267","Bystrom",1
"1268","Caballero",1
"1269","Cabell",1
"1270","Cabral",1
"1271","Cabrera",16
"1272","Cacek",1
"1273","Caceres",1
"1274","Cadaret",1
"1275","Cadore",1
"1276","Cady",2
"1277","Cafego",1
"1278","Caffie",1
"1279","Caffyn",1
"1280","Cage",1
"1281","Cahill",3
"1282","Cain",5
"1283","Cairncross",1
"1284","Cairo",1
"1285","Caithamer",1
"1286","Calderon",1
"1287","Calderone",1
"1288","Caldwell",6
"1289","Calero",1
"1290","Calhoun",4
"1291","Cali",1
"1292","Caligiuri",1
"1293","Calihan",1
"1294","Calixte",1
"1295","Callaghan",2
"1296","Callahan",10
"1297","Callaspo",1
"1298","Callaway",2
"1299","Callison",1
"1300","Calloway",1
"1301","Calmus",1
"1302","Calvert",2
"1303","Calvo",1
"1304","Calzado",1
"1305","Camacho",1
"1306","Cambria",1
"1307","Camelli",1
"1308","Cameron",3
"1309","Camilli",3
"1310","Caminero",1
"1311","Caminiti",1
"1312","Cammack",1
"1313","Camnitz",2
"1314","Camp",5
"1315","Campana",1
"1316","Campanella",1
"1317","Campaneris",1
"1318","Campanis",2
"1319","Campau",1
"1320","Campbell",24
"1321","Camper",1
"1322","Campfield",1
"1323","Campillo",1
"1324","Campisi",1
"1325","Campos",3
"1326","Campusano",1
"1327","Canale",1
"1328","Canate",1
"1329","Canavan",2
"1330","Cancel",1
"1331","Candaele",1
"1332","Candelaria",1
"1333","Candelario",1
"1334","Candini",1
"1335","Candiotti",1
"1336","Caneira",1
"1337","Cangelosi",1
"1338","Canha",1
"1339","Canizares",1
"1340","Canizaro",1
"1341","Cannell",1
"1342","Cannizaro",1
"1343","Cannizzaro",1
"1344","Cannon",1
"1345","Cano",2
"1346","Canseco",2
"1347","Cantillon",1
